date,open,high,low,close,volume
2024-01-02,100.00,102.00,99.00,101.00,1000000
2024-01-03,101.00,103.00,100.50,102.50,1100000
2024-01-04,102.50,104.00,101.00,103.00,950000
2024-01-05,103.00,105.00,102.00,104.50,1050000
2024-01-08,104.50,106.00,103.50,105.00,980000
2024-01-09,105.00,107.00,104.00,106.50,1020000
2024-01-10,106.50,108.00,105.50,107.00,1150000
2024-01-11,107.00,109.00,106.00,108.50,1080000
2024-01-12,108.50,110.00,107.50,109.00,990000
2024-01-15,109.00,111.00,108.00,110.50,1030000
2024-01-16,110.50,112.00,109.50,111.00,1100000
2024-01-17,111.00,113.00,110.00,112.50,960000
2024-01-18,112.50,114.00,111.50,113.00,1040000
2024-01-19,113.00,115.00,112.00,114.50,1070000
2024-01-22,114.50,116.00,113.50,115.00,1010000
2024-01-23,115.00,116.50,114.00,114.00,1120000
2024-01-24,114.00,115.00,112.00,112.50,1200000
2024-01-25,112.50,113.50,110.00,110.00,1300000
2024-01-26,110.00,111.00,108.00,108.50,1250000
2024-01-29,108.50,109.50,106.00,106.00,1350000
2024-01-30,106.00,107.00,104.00,104.50,1400000
2024-01-31,104.50,105.50,102.00,102.00,1450000
2024-02-01,102.00,103.00,100.00,100.50,1500000
2024-02-02,100.50,101.50,98.00,98.00,1550000
2024-02-05,98.00,99.00,96.00,96.50,1600000
2024-02-06,96.50,97.50,94.00,94.00,1650000
2024-02-07,94.00,95.00,92.00,92.50,1700000
2024-02-08,92.50,93.50,90.00,90.00,1750000
2024-02-09,90.00,91.00,88.00,88.50,1800000
2024-02-12,88.50,90.00,87.00,89.00,1700000
2024-02-13,89.00,91.00,88.00,90.50,1600000
2024-02-14,90.50,92.00,89.50,91.00,1550000
2024-02-15,91.00,92.50,90.00,91.50,1500000
2024-02-16,91.50,93.00,90.50,92.00,1450000
2024-02-19,92.00,93.50,91.00,92.50,1400000
2024-02-20,92.50,94.00,91.50,93.00,1350000
2024-02-21,93.00,95.00,92.00,94.50,1300000
2024-02-22,94.50,96.00,93.50,95.00,1250000
2024-02-23,95.00,97.00,94.00,96.50,1200000
2024-02-26,96.50,98.00,95.50,97.00,1150000
